,Date,Total Confirmed,Total Deaths,Total Recoveries
0,22 Jan 2020,555,17,28
1,23 Jan 2020,654,18,30
2,24 Jan 2020,941,26,36
3,25 Jan 2020,1434,42,39
4,26 Jan 2020,2118,56,52
5,27 Jan 2020,2927,82,61
6,28 Jan 2020,5578,131,107
7,29 Jan 2020,6167,133,126
8,30 Jan 2020,8235,171,143
9,31 Jan 2020,9927,213,222
10,1 Feb 2020,12038,259,284
11,2 Feb 2020,16787,362,472
12,3 Feb 2020,19887,426,623
13,4 Feb 2020,23898,492,852
14,5 Feb 2020,27643,564,1124
15,6 Feb 2020,30803,634,1487
16,7 Feb 2020,34396,719,2011
17,8 Feb 2020,37130,806,2616
18,9 Feb 2020,40160,906,3244
19,10 Feb 2020,42769,1013,3946
20,11 Feb 2020,44811,1113,4683
21,12 Feb 2020,45229,1118,5150
22,13 Feb 2020,60382,1371,6295
23,14 Feb 2020,66909,1523,8058
24,15 Feb 2020,69051,1666,9395
25,16 Feb 2020,71235,1770,10865
26,17 Feb 2020,73270,1868,12583
27,18 Feb 2020,75152,2008,14352
28,19 Feb 2020,75652,2123,16121
29,20 Feb 2020,76212,2248,18177
30,21 Feb 2020,76841,2252,18890
31,22 Feb 2020,78602,2459,22886
32,23 Feb 2020,78982,2470,23394
33,24 Feb 2020,79546,2630,25227
34,25 Feb 2020,80399,2710,27905
35,26 Feb 2020,81376,2771,30384
36,27 Feb 2020,82736,2814,33276
37,28 Feb 2020,84123,2873,36710
38,29 Feb 2020,86013,2942,39781
39,1 Mar 2020,88394,2996,42715
40,2 Mar 2020,90377,3085,45601
41,3 Mar 2020,92971,3160,48227
42,4 Mar 2020,95279,3255,51169
43,5 Mar 2020,98090,3349,53795
44,6 Mar 2020,102003,3460,55863
45,7 Mar 2020,106098,3564,58357
46,8 Mar 2020,110047,3803,60692
47,9 Mar 2020,114219,3993,62491
48,10 Mar 2020,119041,4267,64400
49,11 Mar 2020,126702,4611,66998
50,12 Mar 2020,132492,4917,68320
51,13 Mar 2020,146879,5414,70248
52,14 Mar 2020,157952,5834,72619
53,15 Mar 2020,169222,6475,76029
54,16 Mar 2020,184032,7153,78083
55,17 Mar 2020,199976,7965,80830
56,18 Mar 2020,219535,8868,83316
57,19 Mar 2020,246584,9980,84958
58,20 Mar 2020,277361,11461,87402
59,21 Mar 2020,309363,13183,91648
60,22 Mar 2020,344194,14857,97867
61,23 Mar 2020,387045,16798,98336
62,24 Mar 2020,428205,19083,107970
63,25 Mar 2020,479223,21882,113754
64,26 Mar 2020,542053,24902,122126
65,27 Mar 2020,607114,28396,130911
66,28 Mar 2020,674360,32112,139419
67,29 Mar 2020,733612,35588,148864
68,30 Mar 2020,798890,39640,164323
69,31 Mar 2020,875739,44389,177811
70,1 Apr 2020,958530,50348,193172
71,2 Apr 2020,1041577,56201,210226
72,3 Apr 2020,1125107,62325,225679
73,4 Apr 2020,1183515,68497,246122
74,5 Apr 2020,1256123,73681,260015
75,6 Apr 2020,1329293,79607,276606
76,7 Apr 2020,1399126,87838,299932
77,8 Apr 2020,1482482,94587,328749
78,9 Apr 2020,1569522,102333,354002
79,10 Apr 2020,1655055,109723,375786
80,11 Apr 2020,1729410,115958,402036
81,12 Apr 2020,1849130,121787,421462
82,13 Apr 2020,1919850,127714,448720
83,14 Apr 2020,2003793,134680,473792
84,15 Apr 2020,2080933,143030,510366
85,16 Apr 2020,2176493,150308,541282
86,17 Apr 2020,2264175,158673,567473
87,18 Apr 2020,2341486,164696,591332
88,19 Apr 2020,2418187,169958,623097
89,20 Apr 2020,2494206,175833,645251
90,21 Apr 2020,2569825,183013,680052
91,22 Apr 2020,2650976,189732,710180
92,23 Apr 2020,2735250,196559,738911
93,24 Apr 2020,2819321,203225,788995
94,25 Apr 2020,2901569,208863,816706
95,26 Apr 2020,2973235,212820,845447
96,27 Apr 2020,3043343,217492,873295
97,28 Apr 2020,3118638,224021,906503
98,29 Apr 2020,3195702,230747,948551
